in return  作为回报
e-pal  n.网友
theft  n.偷;行窃
behavior  n.行为；举止；习性
region  n.区域；地方
Buddha  n.佛； 佛像； 佛陀
grassland  n.草原；草地
god  n.神；神像；（G-）上帝
shampoo  n.洗发精；洗发香波
Asian  adj.亚洲的，亚洲人的 n.亚洲人
now and then  时而；不时；偶尔
breathless  adj.使人屏住呼吸的; 气喘吁吁的
rely  vi.依靠；信赖；指望
poetry  n.[总称]诗;诗篇
go by  过去;走过
cookbook  n.食谱
childhood  n.孩童时期；童年时代
sympathy  n.同情（心）；同感
Guinness  n.吉尼斯世界记录
test  vt.＆n.测试；试验；检验
overweight  adj.超重的；肥胖的
on the air  正在播出的
crack  vi.发破裂声；劈啪地响
glove  n.手套
stay away 不在家；外出
uncertain  adj.不确切的;无把握的
knock about  <口>接连打击; (浪等)冲击(船等);碰撞
transter  n.转移；转让
Hardball  《临时教练》（电影名）
arm  vt.武装;用武器装备  n.(常用复数)武器;兵器
Ellen  埃伦（女子名）
Kofi Annan  科菲·安南
positive  adj.肯定的；积极的
Nancy  南希（女子名）
 extremely  adv.非常地；极其地
act as  充当;扮演;担当
accurate  adj.准确的；精确的
addition  n. 增加的人或事物;加(法)
musical  adj.音乐的
chairwoman  n.女主席；女董事长
play with  玩;玩耍;游戏
skip  vt.＆vi.跳读；略过
urban  adj.城市的;都市的
reading  n. (仪器上的)读数;阅读;读物
leave out 省去；遗漏；不考虑
 owe sth to sb 把……归功于某人
thundercloud  n.雷雨云
cosy  adj.舒适的
South Carolina  南卡罗来纳州（美国州名）
stair  n.（阶梯的）一级；楼梯
Nautilus  诺特拉斯（船名）
fix  sth  on/upon  sb  全神贯注于；凝视
beauty  n.美；美景；美好的东西
biscuit  n.饼干;软烤饼
lifelong  adj.毕生的;终身的
Arabic  adj.阿拉伯人的（尤指其语言或文学）
energy  n.精力；能量
gorilla  n.大猩猩
Eve  夏娃（女子名）
bother  vt.烦扰；打扰  vt.烦恼；操心   n.麻烦；烦搅；不便
Ray Tomlinson  雷·汤姆林森（美国计算机工程师）
name…arter  给……取名；命名
morrrow  n.（古）（诗）次日；翌日；早晨
biochemistry  n.生物化学
unknown  adj.未知的;不出名的
Galapagos  n.加拉帕戈斯（群岛）
runaway  adj.逃跑的；失控的 n.逃跑；逃跑者
Hollywood  n.好莱坞；美国电影业
contribute  vi.作出贡献;捐献;投(稿)  vt.贡献;提供;捐献;投稿
specific  adj.具体的；特有的  
chew  vt.嚼碎；咀嚼；回味；深思
tend to  朝某方向；趋于
energetic  adj.精力充沛的；充满活力的
pulse  n.脉搏;有节奏的跳动
air conditioner  空气调节器
announcement  n.宣告；公告；告示
 lead to  导致某种结果
Venice  n.威尼斯（意大利城市）
absent  adj.不在场的;缺席的
bend  vt.&vi.弯曲；专心于；屈服
suitable  adj.适合的；恰当的
harbour （=harbor）海港
Winfield  温菲尔德（文中虚构的地名）
applaud  vi.拍手喝彩；称赞；赞同
temporary  adj.暂时的;临时的
handshake  n.握手
salute  vi.行礼致敬；敬礼
catchy  adj.吸引人的；使人上当的
Frank Lloyd Wright  弗兰克·劳埃德·赖特 (美国建筑师)
present  adj.现在的;在场的
polar  adj.两极的；极地的
Mongolian  n.蒙古（族）人；蒙古语
rap  vi.＆vt.＆n.说唱
lend a hand  帮助
interrupt  vt.＆vi.打断；中断；插嘴
silicon  n.硅
Paula  保拉（女子名）
con  n.反对
respect  vt.尊敬；尊重
Pliny  普利尼(男子名)
slavery  n.奴隶制；蓄奴；奴隶身份
reward  n.报答；报酬 vt.给报酬；奖赏
day and night  日日夜夜地
culture  n.文化；文明
villager  村民
avenue  n.大街；通道
erupt  vi.(火山、喷泉等)喷发
catastrophe  n.大灾难
involve  vt.包括；牵涉；使参与
a list of  一张……的清单
astronomer  n.天文学家
Leonardo da Vinci  列昂纳多·达·芬奇
the Great Barrier Reef  大堡礁
finance  n.财政(学);金融; (复数)资金 vt.为……提供资金; 提供款项
questionnaire  n.问卷;调查表
organization  n.组织；机构；团体
schoolmate  n.同学；校友
reduce  vt.减少；缩减；简化
William  Sydney  Porter  威廉·西德尼·波特
Keanu Reeves  基努·里维斯（美国男影星）
chairwoman  n.女主席；女董事长
pull out of  从……中退出
cowboy  n.(美国西部的)牛仔;牧童
BC  （=before Christ）公元前
lightning  n.闪电
shilling  n.（到1971年为止）先令（英国贷币）
fee  n.费用；服务费；酬金
Oxford  n.牛津（英国成市，牛津大学所在地）
rocket  n.火箭；火箭式投射器
effort  n.努力;艰难的尝试; 努力的成果
set an example to  为……树立榜样
density  n.密度；浓度
horizon  n.地平线
cyclist  n.骑脚踏车的人
strengthen  vt.加强；巩固 vi.变强
comprehension  n.理解（力）；（焦虑）的
post  vt.张贴（布告、通知等）
advice   n.忠告, 建议
flexible  adj.灵活的;有弹性的
baggage  n.行李
primary  adj.初等教育的；最早的；首要的
come into being  出现;形成;产生
handwriting  n.笔迹；手写稿
ripe  adj.熟的；成熟的
punctual   adj.准时的;守时的
ant  n.蚂蚁
bill  n.议案
elect  vt.&vi.选举;推选
tide  n.潮；高潮
clown  n.小丑；粗鲁愚蠢的人
amateur  n.业余爱好者
heel  n.鞋跟；脚后跟
emotion  n.情感；感情；情绪
appreciate  vt.赏识；鉴赏；感激
oxygen  n.氧；氧气
fashion   n.流行；时尚；方式
lifelike  adj.栩栩如生的;逼真的
overseas  adj.国外的;海外的  adv.到海外;在国外
Wilson  威尔逊（男子名）
familiar  adj.熟悉的；常见的
serve as  作为；当作
pollution  n.污染；玷污
calculate  vt.计算；推算
trial  n.试验；审判
poem  n.诗;韵文;诗体文
poisonous adj.有毒的；有害的；恶毒的
what if  倘使……将会怎样; 即使……又有什么要紧
athletic  adj.运动（员）的；体格健壮的
on all sides  在各方面;到处
prosper  vi.兴旺;繁荣;成功
burden   n.负担;责任
thermometer  n.温度计;体温表
heater  n.加热器
studio  n.摄影棚（场）；演播室；画室；工作室
somehow  adv.某种方式；莫明其妙地；不知怎么地
obtain  vt.取得;获得
adequate  adj.足够的;充分的
taste  n.爱好;鉴赏力;味道;味觉
killer  n.杀人者;<口>造成灾难的事物
PhD  哲学博士学位;博士学位
UNIT 20
refer to  提到；查询
millimetre  n.毫米
perform  vt.＆vi.表演；履行；执行
